time, current_loop, loop_latency, logic_execution_time, conveyor_belt_engine_status(8), conveyor_belt_engine_mode(9), bottle_level_value(10), bottle_level_max(11), bottle_distance_to_filler_value(12), 
2025-01-10 03:22:34.406896, 1736450554400, 4, 2, 0.0, 3.0, 0.0, 1.8, 0.0, 
2025-01-10 03:22:34.626883, 1736450554600, 0, 27, 1.0, 3.0, 0.0, 1.8, 0.0, 
2025-01-10 03:22:34.813386, 1736450554800, 3, 1, 1.0, 3.0, 0.0, 1.8, 19.0, 
2025-01-10 03:22:37.017419, 1736450555000, 0, 2006, 1.0, 3.0, 0.0, 1.8, 8.0, 
2025-01-10 03:22:37.018419, 1736450557000, 1818, 0, 1.0, 3.0, 0.0, 1.8, 8.0, 
2025-01-10 03:22:37.211744, 1736450557200, 0, 11, 1.0, 3.0, 0.0, 1.8, 7.0, 
2025-01-10 03:22:37.417029, 1736450557400, 0, 8, 1.0, 3.0, 0.0, 1.8, 6.0, 
2025-01-10 03:22:39.609613, 1736450557600, 4, 2004, 1.0, 3.0, 0.0, 1.8, 15.0, 
2025-01-10 03:22:39.610835, 1736450559600, 1810, 0, 1.0, 3.0, 0.0, 1.8, 15.0, 
2025-01-10 03:22:39.817411, 1736450559800, 1, 15, 1.0, 3.0, 0.0, 1.8, 14.0, 
2025-01-10 03:22:40.002239, 1736450560000, 0, 1, 1.0, 3.0, 0.0, 1.8, 13.0, 
2025-01-10 03:22:42.211702, 1736450560200, 1, 2006, 1.0, 3.0, 0.0, 1.8, 2.0, 
2025-01-10 03:22:42.212634, 1736450562200, 1812, 0, 1.0, 3.0, 0.0, 1.8, 2.0, 
2025-01-10 03:22:42.406010, 1736450562400, 1, 4, 1.0, 3.0, 0.0, 1.8, 1.5, 
2025-01-10 03:22:42.603778, 1736450562600, 2, 1, 1.0, 3.0, 0.013333333333333334, 1.8, 0.5, 
2025-01-10 03:22:44.812790, 1736450562800, 2, 2001, 1.0, 3.0, 0.0, 1.8, 9.0, 
2025-01-10 03:22:44.813819, 1736450564800, 1813, 1, 1.0, 3.0, 0.0, 1.8, 9.0, 
2025-01-10 03:22:45.007305, 1736450565000, 2, 5, 1.0, 3.0, 0.0, 1.8, 8.5, 
2025-01-10 03:22:45.214044, 1736450565200, 0, 4, 1.0, 3.0, 0.0, 1.8, 7.5, 
2025-01-10 03:22:47.412812, 1736450565400, 1, 2002, 1.0, 3.0, 0.0, 1.8, 16.0, 
2025-01-10 03:22:47.414216, 1736450567400, 1813, 1, 1.0, 3.0, 0.0, 1.8, 16.0, 
2025-01-10 03:22:47.611709, 1736450567600, 1, 10, 1.0, 3.0, 0.0, 1.8, 15.0, 
2025-01-10 03:22:47.803706, 1736450567800, 2, 1, 1.0, 3.0, 0.0, 1.8, 14.5, 
2025-01-10 03:22:50.034175, 1736450568000, 1, 2011, 1.0, 3.0, 0.0, 1.8, 3.0, 
2025-01-10 03:22:50.035110, 1736450570000, 1834, 1, 1.0, 3.0, 0.0, 1.8, 3.0, 
2025-01-10 03:22:50.211019, 1736450570200, 1, 10, 1.0, 3.0, 0.0, 1.8, 2.0, 
2025-01-10 03:22:50.411015, 1736450570400, 0, 2, 1.0, 3.0, 0.0, 1.8, 1.0, 
2025-01-10 03:22:52.606617, 1736450570600, 2, 2001, 1.0, 3.0, 0.0, 1.8, 10.5, 
2025-01-10 03:22:52.607419, 1736450572600, 1807, 0, 1.0, 3.0, 0.0, 1.8, 10.5, 
2025-01-10 03:22:52.802164, 1736450572800, 0, 1, 1.0, 3.0, 0.0, 1.8, 9.5, 
2025-01-10 03:22:53.005664, 1736450573000, 3, 2, 1.0, 3.0, 0.0, 1.8, 8.5, 
2025-01-10 03:22:55.212538, 1736450573200, 1, 2003, 1.0, 3.0, 0.0, 1.8, 17.0, 
2025-01-10 03:22:55.213465, 1736450575200, 1813, 0, 1.0, 3.0, 0.0, 1.8, 17.0, 
2025-01-10 03:22:55.402507, 1736450575400, 0, 2, 1.0, 3.0, 0.0, 1.8, 16.5, 
2025-01-10 03:22:55.603494, 1736450575600, 0, 3, 1.0, 3.0, 0.0, 1.8, 15.5, 
2025-01-10 03:22:57.813559, 1736450575800, 1, 2003, 1.0, 3.0, 0.0, 1.8, 4.0, 
2025-01-10 03:22:57.815538, 1736450577800, 1814, 1, 1.0, 3.0, 0.0, 1.8, 4.0, 
2025-01-10 03:22:58.017120, 1736450578000, 4, 13, 1.0, 3.0, 0.0, 1.8, 3.0, 
2025-01-10 03:22:58.205055, 1736450578200, 2, 1, 1.0, 3.0, 0.0, 1.8, 2.5, 
2025-01-10 03:23:00.416456, 1736450578400, 1, 2006, 1.0, 3.0, 0.0, 1.8, 11.0, 
2025-01-10 03:23:00.417784, 1736450580400, 1817, 0, 1.0, 3.0, 0.0, 1.8, 11.0, 
2025-01-10 03:23:00.614581, 1736450580600, 0, 5, 1.0, 3.0, 0.0, 1.8, 10.0, 
2025-01-10 03:23:00.815068, 1736450580800, 0, 6, 1.0, 3.0, 0.0, 1.8, 9.0, 
2025-01-10 03:23:03.029588, 1736450581000, 1, 2005, 1.0, 3.0, 0.0, 1.8, 18.0, 
2025-01-10 03:23:03.031013, 1736450583000, 1830, 1, 1.0, 3.0, 0.0, 1.8, 18.0, 
2025-01-10 03:23:03.226567, 1736450583200, 5, 21, 1.0, 3.0, 0.0, 1.8, 17.0, 
2025-01-10 03:23:03.422965, 1736450583400, 2, 2, 1.0, 3.0, 0.0, 1.8, 16.0, 
2025-01-10 03:23:05.613732, 1736450583600, 0, 2005, 1.0, 3.0, 0.0, 1.8, 5.0, 
2025-01-10 03:23:05.614799, 1736450585600, 1814, 1, 1.0, 3.0, 0.0, 1.8, 5.0, 
